270.132	16.916	-5.355	1.377	0.391	0.363	0.000	0	1	ELEN_NDI 
271.537	14.232	8.979	7.021	0.819	0.686	0.000	0	1	ERAN_NDI 
272.886	14.601	10.019	5.822	0.829	0.634	0.000	0	1	ERAZ_NDI 
267.927	15.696	-3.023	5.184	0.652	0.588	0.000	0	1	ESPI_NDI 
266.396	15.935	-5.428	4.799	0.974	0.788	0.000	0	1	ESPO_NDI 
266.521	17.462	-14.966	-1.568	1.000	0.600	0.000	0	1	ESTC_NDI 
270.329	15.084	0.310	1.940	0.611	0.538	0.000	0	1	FMIN_NDI 
271.960	15.780	5.309	3.322	0.989	0.878	0.000	0	1	FRT1_NDI 
298.853	14.735	11.388	14.854	0.873	0.678	0.000	0	1	FSD0_NDI 
278.621	19.293	-5.718	2.349	0.383	0.380	0.000	0	1	GCGT_NDI 
273.930	15.030	12.878	7.021	1.173	0.908	0.000	0	1	GLCO_NDI 
268.919	14.034	-6.171	2.802	4.400	2.400	0.000	0	1	GOME_NDI 
271.416	14.588	12.303	7.425	0.715	0.613	0.000	0	1	GRAC_NDI 
267.143	16.419	-5.731	1.799	0.704	0.605	0.000	0	1	GRUT_NDI 
270.531	14.228	8.348	5.517	0.541	0.512	0.000	0	1	GUAJ_NDI 
269.480	14.590	7.251	4.011	0.369	0.350	0.000	0	1	GUAT_NDI 
270.838	13.841	12.242	8.820	1.162	1.140	0.000	0	1	GUAY_NDI 
273.169	12.609	-1.348	10.402	0.600	0.800	0.000	0	1	HERH_NDI 
270.385	15.030	0.952	1.506	0.776	0.646	0.000	0	1	HON0_NDI 
270.385	15.032	-2.859	0.549	1.138	0.858	0.000	0	1	HON1_NDI 
273.172	12.599	-1.443	9.204	0.600	0.700	0.000	0	1	HOYN_NDI 
268.531	15.282	-3.104	2.027	0.776	0.645	0.000	0	1	HUE0_NDI 
268.497	15.318	-3.303	3.790	0.479	0.510	0.000	0	1	HUEH_NDI 
269.472	19.853	-9.118	-0.084	0.481	0.472	0.000	0	1	ICAM_NDI 
271.284	13.560	4.492	8.782	0.975	0.791	0.000	0	1	ICHA_NDI 
270.372	14.623	0.846	3.686	1.200	1.000	0.000	0	1	IPA0_NDI 
266.878	16.749	-13.167	-1.523	0.700	0.700	0.000	0	1	ITUX_NDI 
269.731	14.183	-5.135	4.029	4.600	2.800	0.000	0	1	IXTA_NDI 
271.290	15.099	7.242	6.070	0.679	0.572	0.000	0	1	JAGU_NDI 
269.990	14.624	-3.463	4.233	4.700	2.500	0.000	0	1	JALA_NDI 
273.172	12.684	1.814	8.104	0.500	0.500	0.000	0	1	JCFI_NDI 
269.174	15.011	-3.802	0.901	1.255	1.046	0.000	0	1	JOY0_NDI 
271.750	13.253	4.167	9.005	0.553	0.526	0.000	0	1	JUCU_NDI 
272.002	14.944	2.012	4.838	4.100	2.200	0.000	0	1	LAGO_NDI 
271.563	14.730	8.658	5.821	0.822	0.686	0.000	0	1	LCAN_NDI 
273.159	15.748	8.605	6.471	0.778	0.655	0.000	0	1	LCEB_NDI 
273.091	12.427	2.114	11.918	0.652	0.495	0.000	0	1	LEME_NDI 
273.091	12.428	0.328	8.445	1.135	0.851	0.000	0	1	LEON_NDI 
271.840	14.315	10.723	5.871	0.669	0.586	0.000	0	1	LESP_NDI 
272.253	13.596	9.761	5.891	0.553	0.526	0.000	0	1	LJAS_NDI 
270.220	13.902	-7.678	6.825	0.900	0.900	0.000	0	1	LNUB_NDI 
271.632	13.559	10.668	7.117	0.962	0.822	0.000	0	1	LOLO_NDI 
272.081	13.680	9.245	7.123	1.129	0.791	0.000	0	1	LPIN_NDI 
272.309	14.314	9.242	6.121	0.556	0.498	0.000	0	1	LPZW_NDI 
271.802	13.378	1.986	9.208	1.285	0.894	0.000	0	1	LSSJ_NDI 
273.322	12.546	-0.413	9.763	1.200	0.700	0.000	0	1	MALP_NDI 
273.751	12.149	8.300	8.820	0.368	0.357	0.000	0	1	MANA_NDI 
270.865	14.841	7.468	5.969	0.701	0.683	0.000	0	1	MAYA_NDI 
268.450	14.537	0.849	4.141	0.673	0.624	0.000	0	1	MAZ0_NDI 
268.448	14.540	-3.449	2.477	0.647	0.597	0.000	0	1	MAZ2_NDI 
272.069	15.445	6.815	5.921	0.637	0.617	0.000	0	1	MEZA_NDI 
271.850	13.529	8.470	6.519	0.935	0.775	0.000	0	1	MGL1_NDI 
270.803	13.965	10.014	8.146	0.524	0.508	0.000	0	1	MNGO_NDI 
273.620	14.917	12.187	7.122	1.194	0.837	0.000	0	1	MNTO_NDI 
270.766	15.930	-6.541	0.621	0.691	0.587	0.000	0	1	MOD0_NDI 
